2.2,192.168.0.165,10,000110001100101110,2360894305
2.2,192.168.0.99,10,000110001100101110,2360894305
2.2,192.168.0.112,10,000110001100101110,2360894305
2.2,192.168.0.76,10,000110001100101110,2360894305
2.2,192.168.0.228,10,000110001100101110,2360894305
2.2,192.168.0.15,10,000110001100101110,2360894305
2.2,192.168.0.246,10,000110001100101110,2360894305
2.2,192.168.0.70,10,000110001100101110,2360894305
2.2,192.168.0.98,10,000110001100101110,2360894305
2.2,192.168.0.122,10,000110001100101110,2360894305
